"Itn","Losses","","File 1","File 2","File 3","File 4","File 5","Average"
"","","Precision : ","0.6126126126126126","0.5052083333333334","0.5818181818181818","0.6273291925465838","0.8393574297188755","0.6332651500059174"
"23","2324.6813601851463","Recall : ","0.8192771084337349","0.782258064516129","0.5079365079365079","0.507537688442211","0.8196078431372549","0.6873234424931676"
"","","F1 Score : ","0.7010309278350516","0.6139240506329113","0.5423728813559321","0.561111111111111","0.8293650793650794","0.6495608100600171"

"","","Precision : ","0.6601941747572816","0.5518207282913166","0.6693548387096774","0.6013071895424836","0.8007518796992481","0.6566857622000015"
"24","2259.9961531162262","Recall : ","0.8192771084337349","0.7943548387096774","0.6587301587301587","0.4623115577889447","0.8352941176470589","0.713993556261915"
"","","F1 Score : ","0.7311827956989247","0.6512396694214876","0.6639999999999999","0.5227272727272728","0.8176583493282149","0.67736161743518"

"","","Precision : ","0.5151515151515151","0.5257731958762887","0.7058823529411765","0.5","0.8185483870967742","0.613071090213151"
"25","2374.0","Recall : ","0.8192771084337349","0.8225806451612904","0.5714285714285714","0.36683417085427134","0.796078431372549","0.6752397854500833"
"","","F1 Score : ","0.6325581395348837","0.6415094339622642","0.6315789473684211","0.4231884057971015","0.8071570576540755","0.6271983968633492"

"","","Precision : ","0.7415730337078652","0.5411764705882353","0.6304347826086957","0.6526946107784432","0.8376068376068376","0.6806971470580154"
"26","2293.9941635131836","Recall : ","0.7951807228915663","0.7419354838709677","0.4603174603174603","0.5477386934673367","0.7686274509803922","0.6627599623055446"
"","","F1 Score : ","0.7674418604651162","0.6258503401360543","0.5321100917431192","0.5956284153005464","0.801635991820041","0.6645333398929754"

"","","Precision : ","0.7674418604651163","0.5752212389380531","0.6086956521739131","0.6395348837209303","0.8218623481781376","0.6825511966952301"
"27","2272.0","Recall : ","0.7951807228915663","0.7862903225806451","0.5555555555555556","0.5527638190954773","0.796078431372549","0.6971737702991586"
"","","F1 Score : ","0.7810650887573964","0.6643952299829642","0.5809128630705395","0.5929919137466306","0.8087649402390438","0.685626007159315"

"","","Precision : ","0.6947368421052632","0.5488126649076517","0.6931818181818182","0.7168674698795181","0.8448275862068966","0.6996852762562297"
"28","2298.0","Recall : ","0.7951807228915663","0.8387096774193549","0.48412698412698413","0.5979899497487438","0.7686274509803922","0.6969269570334082"
"","","F1 Score : ","0.7415730337078653","0.6634768740031898","0.5700934579439253","0.652054794520548","0.8049281314168378","0.6864252583184733"

"","","Precision : ","0.6631578947368421","0.4707259953161593","0.5299145299145299","0.5802469135802469","0.806949806949807","0.610199028099517"
"29","2226.0","Recall : ","0.7590361445783133","0.8104838709677419","0.49206349206349204","0.4723618090452261","0.8196078431372549","0.6707106319584056"
"","","F1 Score : ","0.7078651685393258","0.5955555555555555","0.5102880658436214","0.5207756232686981","0.8132295719844357","0.6295427970383273"

"","","Precision : ","0.638095238095238","0.5420054200542005","0.6209677419354839","0.6338028169014085","0.7962264150943397","0.6462195264161341"
"30","2039.8931140899658","Recall : ","0.8072289156626506","0.8064516129032258","0.6111111111111112","0.45226130653266333","0.8274509803921568","0.7009007853203615"
"","","F1 Score : ","0.7127659574468084","0.6482982171799027","0.616","0.527859237536657","0.8115384615384615","0.6632923747403658"

"","","Precision : ","0.6666666666666666","0.44110854503464203","0.5882352941176471","0.22121212121212122","0.8883720930232558","0.5611189440108666"
"31","2192.0","Recall : ","0.7951807228915663","0.7701612903225806","0.3968253968253968","0.36683417085427134","0.7490196078431373","0.6156042377473905"
"","","F1 Score : ","0.7252747252747251","0.5609397944199707","0.47393364928909953","0.275992438563327","0.8127659574468086","0.5697813129987862"

"","","Precision : ","0.7415730337078652","0.697594501718213","0.8245614035087719","0.7520661157024794","0.8986784140969163","0.7828946937468492"
"32","2240.0","Recall : ","0.7951807228915663","0.8185483870967742","0.373015873015873","0.457286432160804","0.8","0.6488062830330035"
"","","F1 Score : ","0.7674418604651162","0.7532467532467533","0.5136612021857924","0.56875","0.8464730290456431","0.6899145689886611"

"","","Precision : ","0.6504854368932039","0.6900369003690037","0.8688524590163934","0.7549019607843137","0.8436213991769548","0.7615796312479739"
"33","2064.0","Recall : ","0.8072289156626506","0.7540322580645161","0.42063492063492064","0.3869346733668342","0.803921568627451","0.6345504672712746"
"","","F1 Score : ","0.7204301075268817","0.7206165703275529","0.5668449197860963","0.5116279069767442","0.8232931726907631","0.6685625354616076"

"","","Precision : ","0.7142857142857143","0.6488294314381271","0.6413043478260869","0.6324786324786325","0.8765957446808511","0.7026987741418824"
"34","2178.0","Recall : ","0.7831325301204819","0.782258064516129","0.46825396825396826","0.37185929648241206","0.807843137254902","0.6426693993255788"
"","","F1 Score : ","0.7471264367816092","0.7093235831809872","0.5412844036697247","0.46835443037974683","0.8408163265306123","0.6613810361085359"

